id,titulo,resumo,palavras_chave,etapa_esperada,resultado_esperado,justificativa_esperada
E01,Predicción de Enfermedades Cardíacas Mediante Aprendizaje Profundo en Pacientes Hospitalizados,"Este artículo propone una red neuronal profunda para predecir enfermedades cardíacas en pacientes hospitalizados, utilizando datos clínicos y de laboratorio recolectados entre 2020 y 2023. El modelo alcanzó una precisión del 92% y un AUC de 0.94, superando a los métodos de referencia evaluados.",enfermedades cardíacas;aprendizaje profundo;predicción clínica,Etapa 1 (título),REJEITADO_ETAPA1,"Título e resumo em espanhol, sobre predição de doenças cardíacas — sem qualquer relação com evasão estudantil ou ensino superior; deve ser rejeitado já pelo título (viola CE-1 e é claramente fora do tema)."
E02,Otimização de Rotas de Entrega Logística Utilizando Algoritmos Genéticos,"Este artigo propõe um algoritmo genético para otimizar rotas de entrega de uma transportadora, reduzindo o tempo médio de entrega em 18% e o custo operacional em 12%, com base em dados de 5.000 entregas realizadas em uma região metropolitana.",logística;roteirização;algoritmos genéticos,Etapa 1 (título),REJEITADO_ETAPA1,"Tema de logística e roteirização de entregas, sem qualquer relação com evasão estudantil, educação ou ensino superior; o título por si só já permite uma rejeição certa na triagem inicial."
E03,Aprendizado de Máquina para Predição de Evasão Estudantil no Ensino Superior: Tendências e Desafios,"Este artigo apresenta uma revisão da literatura sobre o uso de técnicas de aprendizado de máquina para a predição de evasão estudantil no ensino superior, sintetizando tendências, lacunas e direções futuras de pesquisa a partir de 58 estudos primários. Nenhum modelo preditivo próprio é proposto ou validado neste trabalho.",evasão estudantil;aprendizado de máquina;revisão de literatura,Etapa 2 (resumo),REJEITADO_ETAPA2,"O resumo revela tratar-se de uma revisão de literatura sem proposta/validação de modelo próprio, o que viola o CE-2. O título é plausível o suficiente para passar pela triagem inicial."
E04,Predição de Evasão de Estudantes Usando Support Vector Machines e Dados Acadêmicos,"Este trabalho propõe um modelo baseado em Support Vector Machines (SVM) para prever a evasão de estudantes a partir de dados acadêmicos e de frequência. O modelo foi treinado e avaliado com dados de alunos matriculados no ensino médio de escolas públicas, alcançando acurácia de 88% e F1-score de 0,85.",evasão escolar;SVM;dados acadêmicos,Etapa 2 (resumo),REJEITADO_ETAPA2,"O título não especifica o nível de ensino (ambíguo o suficiente para passar pela triagem inicial), mas o resumo revela que a amostra é de estudantes do ensino médio, não do ensino superior, o que viola o CE-3."
E05,Predição de Evasão Utilizando Redes Neurais Artificiais: Um Estudo de Caso Institucional,"Este artigo propõe uma rede neural artificial para prever a evasão (turnover) de colaboradores em uma empresa de tecnologia, utilizando dados de recursos humanos como tempo de casa, satisfação no trabalho e histórico de promoções. O modelo alcançou acurácia de 90% e AUC de 0,93.",evasão de colaboradores;turnover;redes neurais,Etapa 2 (resumo),REJEITADO_ETAPA2,"O título é ambíguo (usa 'evasão' e 'estudo de caso institucional', podendo sugerir contexto acadêmico), mas o resumo revela tratar-se de rotatividade de funcionários em uma empresa, não de estudantes, o que viola o CE-3."
E06,Uso de Machine Learning para Predição de Evasão em Ambientes Digitais,"Este trabalho propõe um modelo de Gradient Boosting para prever a evasão (churn) de clientes de uma plataforma de streaming, utilizando dados de uso, engajamento e histórico de pagamentos. O modelo obteve acurácia de 91% e F1-score de 0,88.",churn;evasão de clientes;gradient boosting,Etapa 2 (resumo),REJEITADO_ETAPA2,"O título é genérico o suficiente ('ambientes digitais') para não ser rejeitado na triagem por título, mas o resumo mostra tratar-se de churn de clientes de streaming, não de evasão estudantil, o que viola o CE-3."
E07,Explorando Fatores Associados à Evasão de Estudantes Universitários por Meio de Técnicas Computacionais,"Este estudo explora, de forma qualitativa, os principais fatores associados à evasão de estudantes universitários, com base em entrevistas semiestruturadas e observação de campo em três instituições de ensino superior. Não são utilizados algoritmos de aprendizado de máquina, tampouco métricas quantitativas de desempenho preditivo.",evasão universitária;fatores de evasão;pesquisa qualitativa,Etapa 2 (resumo),REJEITADO_ETAPA2,"O título menciona 'técnicas computacionais', plausível o suficiente para passar pela triagem por título, mas o resumo revela um estudo qualitativo sem qualquer modelo de aprendizado de máquina nem métricas (não satisfaz CI-1 nem CI-3); pontuação baixa (NOT-RELATED) sem necessariamente citar um critério de exclusão específico."
E08,Aplicação de Redes Neurais para Predição de Desempenho Acadêmico de Estudantes Universitários,"Este artigo propõe uma rede neural artificial para prever o desempenho acadêmico (notas finais) de estudantes de graduação, utilizando dados socioeconômicos e de frequência às aulas. O modelo obteve RMSE de 0,42 e R² de 0,81. Este estudo não aborda evasão, abandono ou desistência do curso.",desempenho acadêmico;redes neurais;predição de notas,Etapa 2 (resumo),REJEITADO_ETAPA2,"O título parece relacionado ao tema (estudantes universitários, redes neurais), passando pela triagem inicial, mas o resumo deixa claro que o alvo predito é o desempenho acadêmico, não a evasão (não satisfaz CI-1); pontuação baixa (NOT-RELATED)."
E09,Previsão de Abandono de Curso em Universidades Utilizando Algoritmos de Árvore de Decisão,"Este artigo utiliza árvores de decisão para identificar estudantes universitários com risco de abandono do curso, a partir de dados de matrícula, frequência e desempenho. Os resultados preliminares indicam boa capacidade preditiva do modelo; entretanto, testes estatísticos formais e métricas de desempenho detalhadas (como AUC ou F1-score) ainda estão em desenvolvimento e não são reportados neste artigo.",abandono universitário;árvore de decisão;predição,Etapa 2 (resumo) — dúvida,UNSURE,"Satisfaz o CI-1 (modelo de ML) e o CI-2 (ensino superior), mas o CI-3 (métricas quantitativas) é apenas parcialmente satisfeito — resultados 'preliminares' sem métricas formais. Aderência parcial: score esperado na faixa 50-79 (UNSURE)."
E10,Predição de Evasão em Cursos Técnicos e Superiores Utilizando Máquinas de Vetores de Suporte,"Este trabalho propõe um modelo baseado em Máquinas de Vetores de Suporte (SVM) para prever a evasão de alunos matriculados em cursos técnicos e de graduação tecnológica de um instituto federal de educação, ciência e tecnologia, alcançando acurácia de 84% e F1-score de 0,79. A amostra combina estudantes de cursos técnicos de nível médio integrado e de cursos superiores de tecnologia.",evasão;cursos técnicos;SVM;institutos federais,Etapa 2 (resumo) — dúvida,UNSURE,"Satisfaz o CI-1 (modelo de ML) e o CI-3 (métricas reportadas), mas o CI-2 (ensino superior) é apenas parcialmente satisfeito, pois a amostra mistura estudantes de nível médio técnico integrado com estudantes de cursos superiores. Aderência parcial: score esperado na faixa 50-79 (UNSURE)."
