id,titulo,resumo,decisao_aplicacao,justificativa_aplicacao
B001,Deep Learning for Cross-Project Defect Prediction Using Code Embeddings,"This paper proposes a deep learning approach for cross-project defect prediction. Code modules are represented as embeddings using a transformer-based encoder trained on source code. Experiments conducted on 10 open-source Java projects demonstrate AUC gains of up to 12% over baseline classifiers.",INCLUIR,Propõe modelo de deep learning para predição de defeitos entre projetos com validação empírica e métricas de avaliação reportadas.
B002,Random Forest Ensemble for Software Defect Prediction Using Code Metrics,"We present an ensemble model based on random forests that combines 22 object-oriented metrics to predict defect-prone modules. The model is evaluated on the NASA MDP benchmark and achieves F1-score of 0.81 with SMOTE oversampling.",INCLUIR,Propõe ensemble de random forests para predição de defeitos com métricas de código e validação em benchmark público.
B003,Just-in-Time Defect Prediction Using Change-Level Features and LSTM Networks,"This study introduces a just-in-time defect prediction model that analyzes commit-level features using LSTM networks. Fourteen change metrics are extracted from version history of six Apache projects. The model outperforms SVM and logistic regression baselines in AUC and recall.",INCLUIR,Propõe modelo LSTM para predição just-in-time de defeitos com métricas de commit e validação empírica.
B004,Feature Selection Strategies for Software Bug Prediction: A Comparative Study,"We compare seven feature selection techniques—including information gain, Relief-F, and recursive elimination—applied to defect prediction models. Experiments on the Promise repository show that combining multiple selectors consistently improves precision without sacrificing recall.",INCLUIR,Avalia técnicas de seleção de atributos para predição de defeitos com experimentos empíricos em repositório público.
B005,Graph Neural Networks for Software Defect Prediction on Abstract Syntax Trees,"This paper represents source code as abstract syntax trees and applies graph neural networks to learn structural bug patterns. Evaluated on six datasets from the Defects4J benchmark, the approach outperforms tree-LSTM and code2vec baselines in all metrics.",INCLUIR,Propõe GNN sobre ASTs para predição de defeitos com validação em benchmark público e comparação com baselines.
B006,Explainable Defect Prediction Using SHAP Values and Gradient Boosting,"We propose an explainable defect prediction pipeline combining gradient boosting classifiers with SHAP-based explanations. The model highlights which code metrics most contributed to each prediction, enabling actionable feedback for developers. Evaluated on ten GitHub projects.",INCLUIR,"Propõe modelo de predição de defeitos com gradient boosting e explicabilidade via SHAP, com validação empírica."
B007,Transfer Learning for Software Defect Prediction Across Programming Languages,"This work investigates transfer learning to adapt defect prediction models trained on Java projects to Python codebases. A domain adaptation layer is added to a pre-trained CNN feature extractor. Results show significant improvement over training from scratch on the target project.",INCLUIR,Propõe transferência de aprendizado para predição de defeitos entre linguagens com validação empírica.
B008,Active Learning for Defect Prediction with Limited Labeling Budget,"We address the high labeling cost in defect prediction by applying active learning to select the most informative commits for annotation. Query strategies based on uncertainty sampling and core-set selection are compared. Results on eight projects show competitive AUC with only 20% of labeled data.",INCLUIR,Propõe active learning para predição de defeitos com orçamento limitado de rotulagem e validação em múltiplos projetos.
B009,Handling Class Imbalance in Defect Prediction: A Systematic Comparison of Oversampling Techniques,"Defect datasets are highly skewed. We systematically compare SMOTE, ADASYN, Borderline-SMOTE, and SVM-SMOTE combined with seven classifiers across 30 project datasets. ADASYN with random forest consistently achieves the best G-mean and AUC values.",INCLUIR,Compara técnicas de balanceamento para predição de defeitos com experimentos em 30 conjuntos de dados e métricas reportadas.
B010,Severity-Aware Software Defect Prediction Using Multi-Task Learning,"Existing models predict whether a module is defective but ignore severity. We propose a multi-task neural network that simultaneously predicts defect presence and severity level. Experiments on the Bug prediction dataset show improved performance on both tasks compared to single-task models.",INCLUIR,Propõe predição de defeitos com estimativa de severidade usando aprendizado multi-tarefa e validação empírica.
B011,Convolutional Neural Networks on Source Code Tokens for Defect Detection,"We tokenize source code and apply 1D CNNs to detect defective functions. The model learns local syntactic patterns associated with bug-inducing changes. Evaluated on Devign and BigVul datasets, it outperforms traditional feature-engineering baselines by 8% in F1.",INCLUIR,Propõe CNN sobre tokens de código para detecção de defeitos com validação em datasets públicos e métricas reportadas.
B012,Predicting Security Vulnerabilities Using Machine Learning on Code Metrics,"We apply seven ML classifiers to predict security-related defects using a combination of CK metrics and complexity measures. Experiments on 15 open-source C++ projects show that XGBoost achieves the best precision-recall trade-off for vulnerability-prone modules.",INCLUIR,Propõe modelos de ML para predição de vulnerabilidades de segurança usando métricas de código com validação empírica.
B013,Semi-Supervised Learning for Software Defect Prediction with Scarce Labels,"We propose a semi-supervised defect prediction approach that leverages large amounts of unlabeled commits using a consistency regularization framework. Compared to supervised baselines trained on limited labels, our method achieves 15% improvement in AUC on four open-source projects.",INCLUIR,Propõe aprendizado semi-supervisionado para predição de defeitos com poucos rótulos e validação empírica.
B014,Attention-Based Neural Network for Just-in-Time Defect Prediction,"We introduce an attention mechanism over commit message embeddings and code diff features for just-in-time defect prediction. The model automatically weights the most relevant terms for each decision. Evaluated on six projects from the Kamei et al. dataset, it outperforms all baselines in AUC and F1.",INCLUIR,Propõe mecanismo de atenção para predição just-in-time de defeitos com validação em dataset público.
B015,Combining Static Analysis and Machine Learning for Defect Prediction,"This paper hybridizes static analysis warnings with ML classifiers to improve defect prediction. Static tool alerts are used as additional features alongside code metrics. On ten Java projects, the hybrid approach outperforms pure ML and pure static analysis baselines.",INCLUIR,Combina análise estática com ML para predição de defeitos com validação empírica e comparação de abordagens.
B016,Federated Learning for Privacy-Preserving Cross-Project Defect Prediction,"We propose a federated learning framework that allows organizations to collaboratively train defect prediction models without sharing source code. Each company trains a local model; gradients are aggregated. Results show performance comparable to centralized training.",INCLUIR,Propõe federated learning para predição de defeitos preservando privacidade com validação empírica.
B017,Real-Time Defect Prediction in Continuous Integration Pipelines,"We integrate a defect prediction model into a CI pipeline to flag high-risk commits before merging. The model uses change-level metrics computed from Git history. In an industrial evaluation with four development teams, defect detection rate improved by 30%.",INCLUIR,Propõe predição de defeitos em tempo real em CI com validação industrial e métricas de avaliação reportadas.
B018,Multi-Label Defect Prediction: Classifying Defect Types with Neural Networks,"Beyond binary prediction, this work classifies defects into functional, performance, security, and usability categories using a multi-label neural network. Experiments on the Apache JIRA dataset show that multi-label models outperform one-vs-rest baselines for all defect types.",INCLUIR,Propõe predição multi-label de tipos de defeitos com redes neurais e validação empírica.
B019,Defect Prediction Using Process Metrics Derived from Code Review History,"We extract process metrics from code review logs—such as reviewer experience, review duration, and comment density—and train defect prediction models. Results on five projects hosted on Gerrit show that review metrics complement code metrics and improve AUC.",INCLUIR,Propõe métricas de revisão de código para predição de defeitos com validação empírica.
B020,Cross-Company Defect Prediction with Domain Adaptation,"We address the challenge of training defect prediction models with data from one company and deploying them in another. A domain adaptation layer aligns feature distributions across companies. Experiments with three industrial datasets show significant AUC improvement over unadapted transfer.",INCLUIR,Propõe adaptação de domínio para predição de defeitos entre empresas com validação em dados industriais.
B021,Software Defect Prediction in Embedded Systems Using ML,"Embedded systems have unique constraints that affect defect distribution. We collect CK metrics and complexity measures from five automotive AUTOSAR projects and train defect prediction models. Random forest and SVM achieve the best F1-scores in this constrained domain.",INCLUIR,Propõe predição de defeitos em sistemas embarcados usando ML com validação em projetos industriais.
B022,Temporal Drift in Defect Prediction Models: Detection and Adaptation,"Model accuracy degrades over time due to code evolution. We study temporal drift in defect prediction and propose an adaptive strategy that retrains models when performance drop is detected. Evaluated on ten long-running open-source projects over three years of commit history.",INCLUIR,Investiga degradação temporal de modelos de predição de defeitos e propõe estratégia de adaptação com validação empírica.
B023,Zero-Shot Defect Prediction for Unseen Projects Using Meta-Learning,"We apply meta-learning (MAML) to adapt defect prediction models rapidly to new projects without retraining from scratch. The meta-model is pre-trained on 20 projects and evaluated on 5 held-out projects with zero prior examples. AUC exceeds fully trained baselines.",INCLUIR,Propõe meta-learning para predição de defeitos em projetos não vistos com validação empírica.
B024,Predicting Test Flakiness Using Machine Learning on Commit Features,"Flaky tests waste CI resources. We train ML classifiers on commit-level and test-level features to predict which tests will become flaky. Evaluated on four large Java projects, random forest achieves 0.87 AUC with SHAP-identified features related to concurrency and timing.",INCLUIR,Propõe ML para predição de testes instáveis (flaky tests) — tipo específico de defeito — com validação empírica.
B025,Defect Prediction at the Method Level Using Deep Neural Networks,"Most defect prediction targets file or module level. We propose a method-level model using deep neural networks trained on AST node sequences of individual methods. Evaluated on six Java systems, our model achieves higher precision than file-level models for bug localization.",INCLUIR,Propõe predição de defeitos a nível de método com deep neural networks e validação empírica.
B026,Resampling Strategies for Highly Imbalanced Defect Datasets,"We investigate resampling at varying imbalance ratios (1:10 to 1:100) on 20 defect datasets. Random undersampling, SMOTE, and ensemble-based techniques are compared. Results show that no single strategy dominates; we provide a decision guide based on imbalance ratio.",INCLUIR,Investiga estratégias de reamostragem para datasets desbalanceados de defeitos com avaliação empírica em 20 conjuntos.
B027,Ensemble of Heterogeneous Classifiers for Software Defect Prediction,"We build a stacked ensemble combining logistic regression, random forest, SVM, and XGBoost predictions using a meta-learner. The ensemble is evaluated on 15 datasets from the Promise repository. Results consistently outperform individual classifiers in both AUC and F1.",INCLUIR,Propõe ensemble heterogêneo de classificadores para predição de defeitos com validação em 15 datasets.
B028,Using Natural Language Features from Code Comments for Defect Prediction,"Comments contain quality signals. We extract NLP features from Javadoc and inline comments using TF-IDF and word2vec representations. Combined with structural metrics, these features improve defect prediction AUC by 6% on eight Apache projects.",INCLUIR,Propõe uso de NLP em comentários de código para predição de defeitos com validação empírica.
