"Title";"Abstract"
"A systematic literature review (SLR) on the adoption of artificial intelligence-assisted SLRS: Implications for health technology assessments";"Objectives Systematic literature reviews (SLRs) are essential for evidence synthesis in healthcare decision making, including health technology assessment (HTA), but their time and resource demands are substantial. Artificial intelligence (AI) may enhance efficiency of conducting SLRs, but its acceptance by HTA bodies remains underexplored. This SLR quantifies published health-related SLRs reporting AI use, identifies AI tools used at each SLR stage, and evaluates HTA guidance on AI in evidence synthesis. Methods We searched Embase, Medline, and the Cochrane Library (up to 9 September 2025), supplemented by hand searches and reviews of HTA agency websites. Titles and abstracts were screened in Rayyan by a single reviewer, with full-text review confirming eligibility. Data were extracted and synthesized narratively along key themes. Results In total, 112 studies covering 111 unique SLRs were identified, reporting 134 implementations of 45 unique AI tools (29 publicly available; 16 custom-built). AI use has risen since 2013 and was most frequently applied during title and abstract screening (88 of the 134 implementations). Human oversight remained essential, with no fully autonomous AI reported. Three HTA agencies (CDA-AMC, IQWiG, NICE), EUnetHTA, JBI and Cochrane have provided guidance, indicating the formal integration of AI into HTA processes. Conclusions This SLR provides a quantitative overview of AI use in health-related SLRs and current HTA guidance. These findings may inform development of clearer methodological recommendations and support integration of AI-assisted evidence synthesis in HTA submissions. Further research and policy development are needed to optimize its role in evidence synthesis and healthcare decision making.  © The Author(s), 2026. Published by Cambridge University Press."
"Artificial intelligence as team member versus manual screening to conduct systematic reviews in medical sciences";"Systematic reviews require substantial time and effort. This study compared the results of conducting reviews by human reviewers with those conducted with Artificial Intelligence (AI). We identified 11 AI tools that could assist in conducting a systematic review. None of the AI tools could retrieve all articles that were detected with a manual search strategy. We identified tools for deduplication but did not evaluate them. AI screening tools assist the human reviewer in presenting the most relevant article on top, which could reduce the number of articles that need to be screened on title and abstract, and on full text. There was a poor inter-rater reliability to evaluate the risk of bias between AI tools and the human reviewers. A summary table created by AI tools differs substantially from manually constructed summary tables. This study highlights the potential of AI tools to support systematic reviews, particularly during screening phases, but not to replace human reviews. © 2025 The Author(s)"
"Demystifying literature review in the AI Era: Updating the SSF method with Generative Artificial Intelligence support; [Desmistificando a revisão da literatura na era da IA: Atualizando o método SSF com o suporte da Inteligência Artificial Generativa]; [Desmitificando la revisión bibliográfica en la era de la IA: Actualización del método SSF con apoyo de la Inteligencia Artificial Generativa]";"Objective. The study addresses the lack of a method that combines systematic reviews with Generative Artificial Intelligence (AI). It proposes improvements to the SSF (Systematic Search Flow) method, introducing new review categories and incorporating AI tools. Method. It analyzed 44 types of literature reviews organized into seven distinct families with a narrative review approach. Based on this, the SSF method was updated with the support of generative AI. Results. It presents the evolution of the SSF, which incorporates generative AI to optimize search strategy, article selection and scientific writing. This results in faster reviews by filtering the results and analyzing a large volume of data. Conclusion. The update of the SSF Method represents a significant advance, offering a systematic and efficient guide for literature reviews. Although generative AI does not replace the critical judgment of the researcher, when guided by experienced researchers, it increases the efficiency of the process, making reviews more robust and methodologically rigorous. © 2025 University Library System, University of Pittsburgh. All rights reserved."
"Evaluating the Efficacy and Efficiency of GPT-5 for Automated Title and Abstract Screening in Orthopedic Surgery Systematic Reviews";"Purpose of Review: To analyze the efficacy and efficiency of current large language models (LLMs), specifically GPT-5 in screening titles and abstracts for three review topics within different subspecialties in orthopedics. Recent Findings: Python scripts were developed to call on the GPT-5 model via OpenAIs application programming interface (API). Two human reviewers simultaneously performed screening based on the same inclusion and exclusion criteria. Performance metrics such as specificity, sensitivity, accuracy, positive predictive value (PPV), negative predictive values (NPV), and F1 scores for GPT-5 were calculated based on a gold-standard inclusion and exclusion list developed by a third human adjudicator. Efficiency metrics included total cost and time to completion for each task. The number of titles and abstracts to screen ranged between 668 and 1,131 amongst the three review topics. All performance metrics were above 92.3% amongst all three topics, with sensitivities ranging from 94.1%-100%. Time to completion ranged between 38.5-174.3 minutes. Cost ranged from $1.32-$3.73USD Summary: GPT-5 demonstrated exceptional accuracy, sensitivity, specificity, PPV, NPV, and F1 scores in automating title and abstract screening for three orthopedic systematic review topics in three different subspecialties. Results are similar to previous studies investigating the role of AI for screening, specifically increased accuracy and time-to-completion relative to humans. The average rate of screening ranged from 6.5-17.4 abstracts per minute and the average price ranged from $0.002-$0.0036USD per abstract, suggesting a high degree of efficiency compared to current standards. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2025."
"Artificial intelligence versus human consensus: A concordance analysis in the screening of studies for evidence synthesis in physical activity and sport";"Objective To assess the agreement between the ChatGPT Plus (GPT 4.1) version and human consensus during the screening of studies in four different evidence synthesis projects. Methods A comparative design was used to analyze the degree of agreement between ChatGPT Plus (GPT 4.1) and human reviewers in the study selection process for two systematic reviews with meta-analyses, one scoping review, and one literature review. Human screening was performed independently using the Rayyan platform, while the artificial intelligence was provided with predefined eligibility criteria and protocols. Screening decisions were compared using Cohen's kappa coefficient, sensitivity, and specificity, using Stata 18. Results In the systematic reviews with meta-analyses (SR1 and SR2), agreement was high (κ = 0.73 and 0.86), with sensitivity ≥0.88 and specificity ≥0.99, indicating high reliability in excluding irrelevant studies. In contrast, in the scoping review (SR3) and the literature review (NR1), agreement was moderate (κ = 0.56 and 0.59), with lower positive predictive values (≤0.52), suggesting a higher risk of overdetection. Conclusion Overall, the results suggest that AI-assisted screening may serve as a reliable support tool or triage aid in reviews with well-defined inclusion criteria, rather than fully replacing manual screening. However, in more exploratory or interpretive contexts, human oversight remains necessary to ensure the accuracy of the selection process. © 2026 Elsevier Ltd."
"Introducing the INSPIRE Framework: Guidelines From Expert Librarians for Search and Selection in HCI Literature";"Formalized literature reviews are crucial in human–computer interaction (HCI) because they synthesize research and identify unsolved problems. However, current practices lack transparency when reporting details of a literature search. This restricts replicability. This paper introduces the INSPIRE framework for HCI research. It focuses on the search stage in literature reviews to support a search that prioritizes transparency and quality-of-fit to a research question. It was developed based on guiding principles for successful searches and precautions advised by librarian experts in HCI (n=8) for search strategies in (primarily systematic) literature reviews. We discuss how their advice aligns with the HCI field and their concerns about computational AI tools assisting or automating these reviews. Based on their advice, the framework outlines pivotal stages in conducting a literature search. These essential stages are: (1) defining research goals, (2) navigating relevant databases and (3) using searching techniques (like divergent and convergent searching) to identify a set of relevant studies. The framework also emphasizes the importance of team involvement, transparent reporting, and a flexible, iterative approach to refining the search terms. © The Author(s) 2025. Published by Oxford University Press on behalf of The British Computer Society."
"Do it faster with PICOS: Generative AI-Assisted systematic review screening";"Background: Systematic reviews (SRs) require substantial time and human resources, especially during the screening phase. Large Language Models (LLMs) have shown the potential to expedite screening. However, their use in generating structured PICOS (Population, Intervention/Exposure, Comparison, Outcome, Study design) summaries from title and abstract to assist human reviewers during screening remains unexplored. Objective: To assess the impact of open-source (Mistral-Nemo-Instruct-2407) LLM-generated structured PICOS summaries on the speed and accuracy of title and abstract screening. Methods: Four neurology trainees were grouped into two pairs based on previous screening experience. Pair A (A1, A2) consisted of less experienced trainees (1–2 SR), while Pair B (B1, B2) consisted of more experienced trainees (≥3 SR). Reviewers A1 and B1 received titles, abstracts, and LLM-generated structured PICOS summaries for each article. Reviewers A2 and B2 received only titles and abstracts. All reviewers independently screened the same set of 1,003 articles using predefined eligibility criteria. Screening times were recorded, and performance metrics were calculated. Results: PICOS-assisted reviewers screened significantly faster (A1: 116 min; B1: 90 min) than those without (A2: 463 min; B2: 370 min), with approximately 75% reduction in screening workload. Sensitivity was perfect for PICOS-assisted reviewers (100%), whereas it was lower for those without assistance (88.0% and 92.0%). Furthermore, PICOS-assisted reviewers demonstrated higher accuracy (99.9%), specificity (99.9), F1 scores (98.0%), and strong inter-rater reliability (Cohen's Kappa of 99.8%). Less experienced reviewer with PICOS assistance(A1) outperformed experienced reviewer(B2) without assistance in both efficiency and sensitivity. Conclusion: LLM-generated PICOS summaries enhance the speed and accuracy of title and abstract screening by providing an additional layer of structured information. With PICOS assistance, less experienced reviewer surpassed their more experienced peers. Future research should explore the applicability of this novel method across diverse fields outside of neurology and its integration into fully automated systems. © 2025"
"Development and evaluation of prompts for a large language model to screen titles and abstracts in a living systematic review";"Background Living systematic reviews (LSRs) maintain an updated summary of evidence by incorporating newly published research. While they improve review currency, repeated screening and selection of new references make them labourious and difficult to maintain. Large language models (LLMs) show promise in assisting with screening and data extraction, but more work is needed to achieve the high accuracy required for evidence that informs clinical and policy decisions. Objective The study evaluated the effectiveness of an LLM (GPT-4o) in title and abstract screening compared with human reviewers. Methods Human decisions from an LSR on prodopaminergic interventions for anhedonia served as the reference standard. The baseline search results were divided into a development and a test set. Prompts guiding the LLM's eligibility assessments were refined using the development set and evaluated on the test set and two subsequent LSR updates. Consistency of the LLM outputs was also assessed. Results Prompt development required 1045 records. When applied to the remaining baseline 11 939 records and two updates, the refined prompts achieved 100% sensitivity for studies ultimately included in the review after full-text screening, though sensitivity for records included by humans at the title and abstract stage varied (58-100%) across updates. Simulated workload reductions of 65-85% were observed. Prompt decisions showed high consistency, with minimal false exclusions, satisfying established screening performance benchmarks for systematic reviews. Conclusions Refined GPT-4o prompts demonstrated high sensitivity and moderate specificity while reducing human workload. This approach shows potential for integrating LLMs into systematic review workflows to enhance efficiency. © Author(s) (or their employer(s)) 2025."
"Evaluation of AI Tools Versus the PRISMA Method for Literature Search, Data Extraction, and Study Composition in Glaucoma Systematic Reviews: Content Analysis";"Background: Artificial intelligence (AI) is becoming increasingly popular in the scientific field, as it allows for the analysis of extensive datasets, summarizes results, and assists in writing academic papers. Objective: This study investigates the role of AI in the process of conducting a systematic literature review (SLR), focusing on its contributions and limitations at three key stages of its development, study selection, data extraction, and study composition, using glaucoma-related SLRs as case studies and Preferred Reporting Items for Systematic reviews and Meta-Analyses (PRISMA)-based SLRs as benchmarks. Methods: Four AI platforms were tested on their ability to reproduce four PRISMA-based, glaucoma-related SLRs. We used Connected Papers and Elicit to perform research of relevant records; then we assessed Elicit and ChatPDF’s ability to extract and organize information contained in the retrieved records. Finally, we tested Jenni AI’s capacity to compose an SLR. Results: Neither Connected Papers nor Elicit provided the totality of the results found using the PRISMA method. On average, data extracted from Elicit were accurate in 51.40% (SD 31.45%) of cases and imprecise in 13.69% (SD 17.98%); 22.37% (SD 27.54%) of responses were missing, while 12.51% (SD 14.70%) were incorrect. Data extracted from ChatPDF were accurate in 60.33% (SD 30.72%) of cases and imprecise in 7.41% (SD 13.88%); 17.56% (SD 20.02%) of responses were missing, and 14.70% (SD 17.72%) were incorrect. Jenni AI’s generated content exhibited satisfactory language fluency and technical proficiency but was insufficient in defining methods, elaborating results, and stating conclusions. Conclusions: The PRISMA method continues to exhibit clear superiority in terms of reproducibility and accuracy during the literature search, data extraction, and study composition phases of the SLR writing process. While AI can save time and assist with repetitive tasks, the active participation of the researcher throughout the entire process is still crucial to maintain control over the quality, accuracy, and objectivity of their work. © Laura Antonia Meliante, Giulia Coco, Alessandro Rabiolo, Stefano De Cillà, Gianluca Manni."
"Automated systematic reviews using machine learning and large language models in clinical practice guideline development: A perspective";"Background: Systematic reviews (SRs) are essential for the development of clinical practice guidelines but require time and human resources, raising concerns about sustainability and timeliness. Recent advances in machine learning (ML) and large language models (LLMs) offer promising opportunities to automate SR tasks, including citation screening. However, optimal strategies for integrating these technologies into guideline development workflows remain unclear. Main body: Based on experiences from the SR automation team for the Japanese Clinical Practice Guidelines for Management of Sepsis and Septic Shock 2024, this perspective describes the practical application of ML- and LLM-assisted approaches in guideline development. Semi-automated citation screening using ML-based tools reduced screening time, although performance varied across clinical questions. More recently, LLM-assisted citation screening demonstrated further efficiency gains and improved flexibility without requiring task-specific training data. Prompt engineering played a critical role in optimizing model performance, enabling sensitivity to be increased while preserving specificity. Comparative evaluations across multiple LLMs revealed inherent trade-offs between sensitivity and specificity, highlighting the importance of model selection based on task priorities. Beyond citation screening, emerging evidence supports the potential role of ML and LLMs in search strategy development, data extraction, and quality assessment, although full automation remains limited by interpretability, domain variability, and the need for expert oversight. Conclusions: ML- and LLM-assisted automation is expected to reduce workload and enhance the efficiency of SRs in clinical guideline development. A hybrid human–AI approach, combining automated processes with expert judgment, represents a practical and safe pathway toward sustainable, timely, and reproducible guideline development. © 2026 The Author(s). Hong Kong Journal of Emergency Medicine published by John Wiley & Sons Australia, Ltd on behalf of Hong Kong College of Emergency Medicine Limited."
